MoleculeType	Identifier	MoleculeName
Proteins	P26572	UniProt:P26572 MGAT1
Proteins	P07306	UniProt:P07306 ASGR1
Proteins	P07307	UniProt:P07307 ASGR2
Proteins	Q13454	UniProt:Q13454 TUSC3
Proteins	Q9H0U3	UniProt:Q9H0U3 MAGT1
Proteins	P61803	UniProt:P61803 DAD1
Proteins	P04843	UniProt:P04843 RPN1
Proteins	P39656	UniProt:P39656 DDOST
Proteins	P46977	UniProt:P46977 STT3A
Proteins	P04844	UniProt:P04844 RPN2
Proteins	Q9Y672	UniProt:Q9Y672 ALG6
Proteins	Q96F25	UniProt:Q96F25 ALG14
Proteins	Q9NP73	UniProt:Q9NP73 ALG13
Proteins	Q5I7T1	UniProt:Q5I7T1 ALG10B
Proteins	Q5BKT4	UniProt:Q5BKT4 ALG10
Proteins	Q9BV10	UniProt:Q9BV10 ALG12
Proteins	O75352	UniProt:O75352 MPDU1
Proteins	Q9H553	UniProt:Q9H553 ALG2
Proteins	Q9H6U8	UniProt:Q9H6U8 ALG9
Proteins	Q2TAA5	UniProt:Q2TAA5 ALG11
Proteins	Q13630	UniProt:Q13630 GFUS
Proteins	Q96A29	UniProt:Q96A29 SLC35C1
Proteins	Q8N0W3	UniProt:Q8N0W3 FCSK
Proteins	O60547	UniProt:O60547 GMDS
Proteins	A2VDF0	UniProt:A2VDF0 FUOM
Proteins	O14772	UniProt:O14772 FPGT
Proteins	P53602	UniProt:P53602 MVD
Proteins	Q9UPQ8	UniProt:Q9UPQ8 DOLK
Proteins	Q9H8P0	UniProt:Q9H8P0 SRD5A3
Proteins	Q96E22	UniProt:Q96E22 NUS1
Proteins	Q86SQ9	UniProt:Q86SQ9 DHDDS
Proteins	Q86YN1	UniProt:Q86YN1 DOLPP1
Proteins	Q96EK6	UniProt:Q96EK6 GNPNAT1
Proteins	Q06210	UniProt:Q06210 GFPT1
Proteins	O94808	UniProt:O94808 GFPT2
Proteins	P51606	UniProt:P51606 RENBP
Proteins	Q9Y303	UniProt:Q9Y303 AMDHD2
Proteins	Q16222	UniProt:Q16222 UAP1
Proteins	Q9UJ70	UniProt:Q9UJ70 NAGK
Proteins	O95394	UniProt:O95394 PGM3
Proteins	Q9BXD5	UniProt:Q9BXD5 NPL
Proteins	Q9UQ49	UniProt:Q9UQ49 NEU3
Proteins	Q9Y3R4	UniProt:Q9Y3R4 NEU2
Proteins	Q8WWR8	UniProt:Q8WWR8 NEU4
Proteins	P10619	UniProt:P10619 CTSA
Proteins	P16278	UniProt:P16278 GLB1
Proteins	Q9Y223	UniProt:Q9Y223 GNE
Proteins	Q99519	UniProt:Q99519 NEU1
Proteins	Q96JF0	UniProt:Q96JF0 ST6GAL2
Proteins	P78382	UniProt:P78382 SLC35A1
Proteins	Q9NRA2	UniProt:Q9NRA2 SLC17A5
Proteins	Q9NR45	UniProt:Q9NR45 NANS
Proteins	Q92187	UniProt:Q92187 ST8SIA4
Proteins	Q92185	UniProt:Q92185 ST8SIA1
Proteins	O15466	UniProt:O15466 ST8SIA5
Proteins	Q8NDV1	UniProt:Q8NDV1 ST6GALNAC3
Proteins	Q969X2	UniProt:Q969X2 ST6GALNAC6
Proteins	Q9BVH7	UniProt:Q9BVH7 ST6GALNAC5
Proteins	Q9H4F1	UniProt:Q9H4F1 ST6GALNAC4
Proteins	Q9UJ37	UniProt:Q9UJ37 ST6GALNAC2
Proteins	Q9NSC7	UniProt:Q9NSC7 ST6GALNAC1
Proteins	Q8NFW8	UniProt:Q8NFW8 CMAS
Proteins	Q9UNP4	UniProt:Q9UNP4 ST3GAL5
Proteins	Q16842	UniProt:Q16842 ST3GAL2
Proteins	Q11201	UniProt:Q11201 ST3GAL1
Proteins	Q9Y274	UniProt:Q9Y274 ST3GAL6
Proteins	Q11203	UniProt:Q11203 ST3GAL3
Proteins	Q8TBE9	UniProt:Q8TBE9 NANP
Proteins	O60762	UniProt:O60762 DPM1
Proteins	O94777	UniProt:O94777 DPM2
Proteins	Q9P2X0	UniProt:Q9P2X0 DPM3
Proteins	P19367	UniProt:P19367 HK1
Proteins	Q9Y5P6	UniProt:Q9Y5P6 GMPPB
Proteins	Q96IJ6	UniProt:Q96IJ6 GMPPA
Proteins	P34949	UniProt:P34949 MPI
Proteins	O15305	UniProt:O15305 PMM2
Proteins	Q92871	UniProt:Q92871 PMM1
Proteins	Q9Y673	UniProt:Q9Y673 ALG5
Proteins	O95848	UniProt:O95848 NUDT14
Proteins	Q9BT22	UniProt:Q9BT22 ALG1
Proteins	Q9BVK2	UniProt:Q9BVK2 ALG8
Proteins	Q92685	UniProt:Q92685 ALG3
Proteins	Q9H3H5	UniProt:Q9H3H5 DPAGT1
Proteins	Q96AA3	UniProt:Q96AA3 RFT1
Proteins	Q8NHY0	UniProt:Q8NHY0 B4GALNT2
Proteins	P07911	UniProt:P07911 UMOD
Proteins	Q14165	UniProt:Q14165 MLEC
Proteins	P14314	UniProt:P14314 PRKCSH
Proteins	Q14697	UniProt:Q14697 GANAB
Proteins	Q8NFI3	UniProt:Q8NFI3 ENGASE
Proteins	P0CG48	UniProt:P0CG48 UBC
Proteins	P0CG47	UniProt:P0CG47 UBB
Proteins	P62987	UniProt:P62987 UBA52
Proteins	P62979	UniProt:P62979 RPS27A
Proteins	Q9UKV5	UniProt:Q9UKV5 AMFR
Proteins	P62191	UniProt:P62191 PSMC1
Proteins	Q96IV0	UniProt:Q96IV0 NGLY1
Proteins	P54727	UniProt:P54727 RAD23B
Proteins	Q04323	UniProt:Q04323 UBXN1
Proteins	Q9BUN8	UniProt:Q9BUN8 DERL1
Proteins	P55072	UniProt:P55072 VCP
Proteins	Q13724	UniProt:Q13724 MOGS
