plate,position,raw_sample,sample
3,B10,M100,S214
3,B11,C185,S215
3,B12,C165,S216
3,C1,C168,S217
3,C2,M110,S218
3,C4,C190,S220
3,C5,C201,S221
3,C7,QC,S223
3,C10,H98,S226
3,C11,C169,S227
3,C12,M101,S228
3,D2,M96,S230
3,D4,Y93,S232
3,D5,QC,S233
3,D6,C208,S234
3,D7,Y100,S235
3,D8,M106,S236
3,D9,Y96,S237
3,D10,C186,S238
3,D12,H94,S240
3,E1,C205,S241
3,E4,C206,S244
3,E6,C187,S246
3,E7,M108,S247
3,E8,C177,S248
3,E9,C207,S249
3,E10,C214,S250
3,E11,Y95,S251
3,E12,C184,S252
3,F1,C178,S253
3,F2,C215,S254
3,F4,M95,S256
3,F5,M104,S257
3,F6,Y101,S258
3,F7,Y107,S259
3,F8,C210,S260
3,F9,C167,S261
3,F10,M98,S262
3,F11,H97,S263
3,F12,C183,S264
3,G1,Y98,S265
3,G2,C180,S266
3,G3,M102,S267
3,G5,Y108,S269
3,G6,Y102,S270
3,G7,H95,S271
3,G8,C189,S272
3,G9,C202,S273
3,G10,C212,S274
3,G11,C181,S275
3,G12,C204,S276
3,H1,C191,S277
3,H2,H99,S278
3,H3,C174,S279
3,H4,H152,S280
3,H7,C171,S283
3,H8,QC,S284
3,H9,C170,S285
3,H10,M103,S286
3,H11,C188,S287
3,H12,H156,S288
4,A1,C265,S289
4,A2,Y111,S290
4,A3,C245,S291
4,A4,M113,S292
4,A5,Y116,S293
4,B1,C234,S301
4,B2,C253,S302
4,B3,C230,S303
4,B4,QC,S304
4,B5,Y109,S305
4,B7,C260,S307
4,B8,Y113,S308
4,B9,Y118,S309
4,B10,H165,S310
4,B12,C252,S312
4,C1,C257,S313
4,C2,H160,S314
4,C3,C264,S315
4,C4,C218,S316
4,C5,C220,S317
4,C6,M111,S318
4,C7,C258,S319
4,C8,H169,S320
4,C9,H168,S321
4,C11,C249,S323
4,C12,C237,S324
4,D1,C262,S325
4,D3,M122,S327
4,D4,Y120,S328
4,D5,C247,S329
4,D6,Y123,S330
4,D7,C227,S331
4,D8,C241,S332
4,D9,C251,S333
4,D10,Y115,S334
4,D11,H166,S335
4,D12,C226,S336
4,E1,C235,S337
4,E2,Y110,S338
4,E3,M116,S339
4,E4,C223,S340
4,E5,M114,S341
4,E6,C246,S342
4,E7,H171,S343
